Original,Generated Slang,Lemma,Annotator 1,Annotator 2,Letter 1,Similarity 1 (1 to 5 Likert),Letter 2,Similarity 2 (1 to 5 Likert),Tiebreak,Tiebreak Sim,,,,
jizz,downvote,downvote,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
jizz,downvoted,downvoted,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
retard,fucktards,fucktards,Nigel,Cuong,B,3,B,4,B,3.5,,,,
retard,cowtard,cowtard,Nigel,Cuong,B,3,B,4,B,3.5,,,,
retard,gabbers,gabbers,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
retard,leotards,leotards,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
retard,moron,moron,Nigel,Cuong,B,3,B,3,B,3,,,,
retard,hypocrites,hypocrites,Nigel,Cuong,Z,3,Z,2,Z,2.5,,,,
hore,shemale,shemale,Nigel,Cuong,H,1,Z,1,,1,,,,
hore,holohax,holohax,Nigel,Cuong,H,1,H,1,H,1,,,,
hore,metoo,metoo,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
nipples,breasts,breast,Nigel,Cuong,A,4,Z,4,,4,,,,
hitler,nazi,nazi,Nigel,Cuong,E,5,H,5,,5,,,,
hitler,nazis,nazis,Nigel,Cuong,E,5,H,5,,5,,,,
hitler,adolf,adolf,Nigel,Cuong,E,4,Z,4,,4,,,,
hitler,germany,germany,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
hitler,stalin,stalin,Nigel,Cuong,E,2,Z,2,,2,,,,
hitler,nazism,nazism,Nigel,Cuong,E,5,H,4,,4.5,,,,
hitler,germans,germans,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
hitler,himmler,himmler,Nigel,Cuong,Z,4,Z,3,Z,3.5,,,,
pubic,pubes,pubes,Nigel,Cuong,A,5,Z,5,,5,,,,
pubic,hair,hair,Nigel,Cuong,Z,2,Z,3,Z,2.5,,,,
pubic,rectal,rectal,Nigel,Cuong,A,2,Z,2,,2,,,,
kkk,kkjkk,kkjkk,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,kag,kag,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,pq,pq,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,kd,kd,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,ainda,ainda,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,hj,hj,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,pkk,pkk,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
kkk,lgbtqpzn,lgbtqpzn,Nigel,Cuong,H,1,Z,1,,1,,,,
ecchi,hentai,hentai,Nigel,Cuong,A,5,A,4,A,4.5,,,,
ecchi,difichi,difichi,Nigel,Cuong,A,1,A,2,A,1.5,,,,
killing,slaughtering,slaughter,Nigel,Cuong,V,5,V,5,V,5,,,,
killing,destroying,destroy,Nigel,Cuong,Z,4,Z,4,Z,4,,,,
killing,shooting,shoot,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
killing,â€™,â€™,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
killing,attacking,attack,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
genitals,pantys,pantys,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
genitals,vaginas,vaginas,Nigel,Cuong,A,5,A,4,A,4.5,,,,
genitals,testicles,testicles,Nigel,Cuong,A,4,A,3,A,3.5,,,,
genitals,foreskins,foreskins,Nigel,Cuong,A,5,Z,3,,,,,,
erotic,auto,auto,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
erotic,gay,gay,Nigel,Cuong,A,3,Z,2,,2.5,,,,
foursome,threesome,threesome,Nigel,Cuong,A,5,A,3,A,,,,,
foursome,cougar,cougar,Nigel,Cuong,A,3,A,2,A,2.5,,,,
niglet,nuggets,nuggets,Nigel,Cuong,Z,1,Z,3,Z,,,,,
niglet,nigger,nigger,Nigel,Cuong,H,5,H,5,H,5,,,,
niglet,nigs,nigs,Nigel,Cuong,H,5,H,5,H,5,,,,
incest,adulterous,adulterous,Nigel,Cuong,A,3,Z,3,,3,,,,
incest,sodomy,sodomy,Nigel,Cuong,A,3,Z,2,,2.5,,,,
incest,suction,suction,Nigel,Cuong,Z,3,Z,1,Z,,,,,
incest,infanticide,infanticide,Nigel,Cuong,V,3,I,3,,3,,,,
incest,deviancy,deviancy,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
cunt,chump,chump,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
molest,harass,harass,Nigel,Cuong,I,4,I,4,I,4,,,,
threesome,foursome,foursome,Nigel,Cuong,A,5,A,4,A,4.5,,,,
threesome,hookup,hookup,Nigel,Cuong,A,4,A,3,A,3.5,,,,
threesome,dominants,dominants,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
threesome,kinky,kinky,Nigel,Cuong,A,3,A,3,A,3,,,,
threesome,virgins,virgins,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
threesome,bums,bum,Nigel,Cuong,Z,3,Z,2,Z,2.5,,,,
narcotic,schizophrenic,schizophrenic,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
narcotic,ethnomasochists,ethnomasochists,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
narcotic,addictive,addictive,Nigel,Cuong,Z,2,I,3,,2.5,,,,
narcotic,corrupter,corrupter,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,douchebag,douchebag,Nigel,Cuong,B,1,Z,1,,1,,,,
horny,sleazy,sleazy,Nigel,Cuong,Z,3,Z,1,Z,,,,,
horny,feminists,feminists,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,guys,guy,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,doxxed,doxxed,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,hungover,hungover,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,harpy,harpy,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
horny,wanks,wank,Nigel,Cuong,Z,3,Z,1,Z,,,,,
nignog,fukbernie,fukbernie,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
nignog,boofing,boofing,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
nignog,duckduckgo,duckduckgo,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
nignog,gabfam,gabfam,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
nigga,nitwit,nitwit,Nigel,Cuong,B,2,Z,3,,2.5,,,,
pornography,censorship,censorship,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
pornography,exploitation,exploitation,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
pornography,pornographers,pornographers,Nigel,Cuong,A,5,Z,4,,4.5,,,,
pornography,it,it,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
pisser,my,my,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
pisser,pissing,piss,Nigel,Cuong,B,5,Z,5,,5,,,,
pisser,arse,arse,Nigel,Cuong,B,3,Z,2,,2.5,,,,
puss,pukes,puke,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
puss,cuss,cuss,Nigel,Cuong,B,2,Z,2,,2,,,,
puss,dumfuck,dumfuck,Nigel,Cuong,B,1,B,1,B,1,,,,
puss,sour,sour,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
puss,faggoty,faggoty,Nigel,Cuong,H,1,H,2,H,1.5,,,,
puss,turd,turd,Nigel,Cuong,B,1,B,2,B,1.5,,,,
boner,boned,bone,Nigel,Cuong,A,5,Z,4,,4.5,,,,
boner,hangups,hangups,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
boner,hots,hots,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
vibrator,dildo,dildo,Nigel,Cuong,A,4,Z,4,,4,,,,
vibrator,vibrancy,vibrancy,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
faggot,stooge,stooge,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
faggot,commie,commie,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
faggot,niggie,niggie,Nigel,Cuong,H,1,H,1,H,1,,,,
faggot,slimy,slimy,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
faggot,cuckold,cuckold,Nigel,Cuong,A,1,Z,1,,1,,,,
faggot,dirtbag,dirtbag,Nigel,Cuong,Z,1,B,2,,1.5,,,,
faggot,whiny,whiny,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
faggot,strawman,strawman,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,humper,humper,Nigel,Cuong,Z,5,Z,5,Z,5,,,,
humping,drinking,drink,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,shaming,sham,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,chopping,chop,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,humpers,humpers,Nigel,Cuong,Z,5,Z,5,Z,5,,,,
humping,gobbling,gobble,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,bashing,bash,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
humping,humped,hump,Nigel,Cuong,Z,5,Z,5,Z,5,,,,
coons,coote,coote,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
coons,whiners,whiners,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
coons,baboons,baboons,Nigel,Cuong,Z,1,H,3,,,,,,
coons,ghoulies,ghoulies,Nigel,Cuong,H,1,H,2,H,1.5,,,,
coons,bollucks,bollucks,Nigel,Cuong,Z,1,Z,2,Z,1.5,,,,
coons,cucks,cucks,Nigel,Cuong,B,1,B,3,B,,,,,
coons,lol,lol,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
fuckface,fuckng,fuckng,Nigel,Cuong,A,4,A,4,A,4,,,,
anal,oral,oral,Nigel,Cuong,A,3,A,3,A,3,,,,
anal,rimming,rim,Nigel,Cuong,A,3,Z,3,,3,,,,
anal,bleeding,bleed,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
anal,homosexual,homosexual,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
blowjob,nutjob,nutjob,Nigel,Cuong,B,3,Z,3,,3,,,,
blowjob,boner,boner,Nigel,Cuong,A,3,Z,3,,3,,,,
blowjob,spanked,spank,Nigel,Cuong,A,2,Z,2,,2,,,,
blowjob,hitjob,hitjob,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
blowjob,grope,grope,Nigel,Cuong,A,3,I,2,,2.5,,,,
blowjob,wackjob,wackjob,Nigel,Cuong,B,2,Z,3,,2.5,,,,
blowjob,chomp,chomp,Nigel,Cuong,Z,1,A,1,,1,,,,
penis,erection,erection,Nigel,Cuong,A,3,Z,3,,3,,,,
penis,prostate,prostate,Nigel,Cuong,A,3,Z,2,,2.5,,,,
penis,dickcam,dickcam,Nigel,Cuong,A,2,Z,3,,2.5,,,,
semen,estrogen,estrogen,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
semen,peroxide,peroxide,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
semen,ficus,ficus,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
semen,spraying,spray,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
semen,insemination,insemination,Nigel,Cuong,A,3,Z,3,,3,,,,
semen,breastfeeding,breastfeed,Nigel,Cuong,A,1,Z,1,,1,,,,
panty,pansy,pansy,Nigel,Cuong,B,2,Z,3,,2.5,,,,
panty,nippley,nippley,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
panty,perv,perv,Nigel,Cuong,I,2,Z,2,,2,,,,
panty,waisted,waisted,Nigel,Cuong,Z,1,Z,3,Z,,,,,
prostitute,cheat,cheat,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
testicles,tentacles,tentacles,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
fuckable,fuckin,fuckin,Nigel,Cuong,A,4,A,3,A,3.5,,,,
fuckable,fuckface,fuckface,Nigel,Cuong,A,4,B,3,,3.5,,,,
rapist,molester,molester,Nigel,Cuong,I,3,I,4,I,3.5,,,,
rapist,serial,serial,Nigel,Cuong,Z,2,Z,2,Z,2,,,,
rapist,offender,offender,Nigel,Cuong,Z,3,Z,3,Z,3,,,,
rapist,perpetrator,perpetrator,Nigel,Cuong,Z,3,Z,2,Z,2.5,,,,
raping,rapists,rapists,Nigel,Cuong,A,5,I,5,,5,,,,
raping,pillating,pillating,Nigel,Cuong,Z,1,Z,1,Z,1,,,,
